Title,Author,Average_Rating
Anna Karenina,Leo Tolstoy,4.10
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.40
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.20
My Sister's Keeper,Jodi Picoult,4.11
The Brothers Karamazov,Fyodor Dostoevsky,4.39
To Kill a Mockingbird,Harper Lee,4.26
A Clockwork Orange,Anthony Burgess,4.00
A Tree Grows in Brooklyn,Betty  Smith,4.30
The Road,Cormac McCarthy,4.00
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.10
Siddhartha,Hermann Hesse,4.08
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57
The Elephant Tree,R.D. Ronald,3.89
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15
Don Quixote,Miguel de Cervantes Saavedra,3.91
And Then There Were None,Agatha Christie,4.27
The Old Man and the Sea,Ernest Hemingway,3.81
The Poisonwood Bible,Barbara Kingsolver,4.11
The Complete Stories and Poems,Edgar Allan Poe,4.40
The Zombie Room,R.D. Ronald,3.92
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02
The Girl Who Played with Fire (Millennium #2),Stieg Larsson,4.26
Atlas Shrugged,Ayn Rand,3.69
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.16
Gone Girl,Gillian Flynn,4.14
Fahrenheit 451,Ray Bradbury,3.97
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47
"The Shining (The Shining, #1)",Stephen        King,4.28
"Moby-Dick or, The Whale",Herman Melville,3.56
A Prayer for Owen Meany,John Irving,4.24
The Stranger,Albert Camus,4.03
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43
Dark Places,Gillian Flynn,3.94
A Story of Yesterday,Sergio Cobo,4.53
The Girl on the Train,Paula Hawkins,3.96
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.30
Shutter Island,Dennis Lehane,4.13
It,Stephen        King,4.24
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.07
Mystic River,Dennis Lehane,4.17
The Metamorphosis,Franz Kafka,3.90
The Secret Life of Bees,Sue Monk Kidd,4.10
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52
Never Lie,Freida McFadden,4.08
The Red Tent,Anita Diamant,4.20
Before I Go to Sleep,S.J. Watson,3.90
None of This Is True,Lisa Jewell,4.08
Big Little Lies,Liane Moriarty,4.31
The Paris Apartment,Lucy Foley,3.65
"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,3.96
The Master and Margarita,Mikhail Bulgakov,4.28
Lock Every Door,Riley Sager,3.89
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,4.18
"You (You, #1)",Caroline Kepnes,3.96
1984,George Orwell,4.20
The Woman in the Window,A.J. Finn,3.94
"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,3.72
Pretty Girls,Karin Slaughter,4.01
"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,4.20
Home Before Dark,Riley Sager,4.05
The Count of Monte Cristo,Alexandre Dumas,4.32
The Couple Next Door,Shari Lapena,3.80
Behind Closed Doors,B.A. Paris,3.97
No Exit,Taylor  Adams,3.99
The Only One Left,Riley Sager,4.13
Final Girls,Riley Sager,3.82
"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,3.83
